2019-06-13 20:44:36 | INFO | 16737 | 5d0245344e4f0 | 1560429876.348 | Service already running, main process number:16737
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.462 | task(8) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.467 | task(9) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.474 | task(10) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.480 | task(11) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.486 | task(12) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.492 | task(13) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.498 | task(14) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.504 | task(15) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.512 | worker(0) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.516 | worker(1) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.520 | worker(2) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.523 | worker(3) started.
2019-06-13 20:44:36 | DEBUG | 16737 | 5d0245344e4f0 | 1560429876.527 | worker(4) started.
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.528 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.532 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.533 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.535 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.537 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.540 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.545 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:44:36 | ERROR | 16737 | 5d0245344e4f0 | 1560429876.549 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | INFO | 16953 | 5d024571714d3 | 1560429937.494 | Service already running, main process number:16954
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.606 | task(14) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.611 | task(15) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.617 | task(10) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.622 | task(11) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.626 | task(12) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.630 | task(8) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.635 | task(13) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.639 | task(9) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.644 | worker(0) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.647 | worker(1) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.651 | worker(5) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.654 | worker(7) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.657 | worker(6) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.660 | worker(2) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.664 | worker(4) started.
2019-06-13 20:45:37 | DEBUG | 16953 | 5d024571714d3 | 1560429937.666 | worker(3) started.
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.668 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.674 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.677 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.680 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.683 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.687 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.688 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:37 | ERROR | 16953 | 5d024571714d3 | 1560429937.690 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:52 | INFO | 17012 | 5d024580afa03 | 1560429952.750 | Service already running, main process number:17012
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.859 | task(8) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.868 | task(9) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.873 | task(10) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.878 | task(11) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.883 | task(12) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.888 | task(13) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.892 | task(14) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.897 | task(15) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.902 | worker(0) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.905 | worker(1) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.909 | worker(2) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.912 | worker(3) started.
2019-06-13 20:45:52 | DEBUG | 17012 | 5d024580afa03 | 1560429952.915 | worker(4) started.
2019-06-13 20:45:52 | ERROR | 17012 | 5d024580afa03 | 1560429952.916 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:52 | ERROR | 17012 | 5d024580afa03 | 1560429952.919 | SQLSTATE[HY000] [1049] Unknown database 'webim'
2019-06-13 20:45:52 | ERROR | 17012 | 5d024580afa03 | 1560429952.920 | SQLSTATE[HY000] [1049] Unknown database 'webim'
